TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR/LFINF+CDL/HBET:3-5,4,2.0774,8.3096
CR/LFINF+CDM/HBET:3-5,4,2.0774,8.3096
CR/LFINF+CDN/HBET:3-5,4,2.0774,8.3096
CR/LWAL+CDH/HBET:3-5,4,2.0774,8.3096
CR/LWAL+CDH/HBET:6-,9,4,36
CR/LWAL+CDM/HBET:3-5,4,2.0774,8.3096
MUR+CL/LWAL+CDN/H:1,1,1,1
MUR+CL/LWAL+CDN/H:2,2,0.5,1
MUR+ST/LWAL+CDN/H:1,1,1,1
MUR+ST/LWAL+CDN/H:2,2,0.5,1
W/LWAL+CDH/H:1,1,1,1
W/LWAL+CDH/H:2,2,0.5,1
W/LWAL+CDH/HBET:3-5,4,2.0774,8.3096
W/LWAL+CDL/H:1,1,1,1
W/LWAL+CDL/H:2,2,0.5,1
W/LWAL+CDL/HBET:3-5,4,2.0774,8.3096
W/LWAL+CDM/H:1,1,1,1
W/LWAL+CDM/H:2,2,0.5,1
W/LWAL+CDM/HBET:3-5,4,2.0774,8.3096
W/LWAL+CDN/H:2,2,0.5,1
W/LWAL+CDN/HBET:5-8,6,0.5,3
CR/LFINF+CDH/H:2,2,0.5,1
CR/LFINF+CDL/H:2,2,0.5,1
CR/LFINF+CDL/HBET:6-,9,4,36
CR/LFINF+CDM/H:2,2,0.5,1
CR/LFINF+CDM/HBET:6-,9,4,36
CR/LWAL+CDL/HBET:3-5,4,2.0774,8.3096
CR/LWAL+CDL/HBET:6-,9,4,36
CR/LWAL+CDM/HBET:6-,9,4,36
MIX(MUR+CR)/LWAL+CDL/HBET:3-5,4,2.0774,8.3096
MIX(MUR+CR)/LWAL+CDM/HBET:3-5,4,2.0774,8.3096
S/LFINF+CDN/HBET:3-5,4,2.0774,8.3096
