TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR+PC/LWAL+CDH/HBET:3-5,3,2.0,6.0
CR+PC/LWAL+CDL/HBET:3-5,3,2.0,6.0
CR+PC/LWAL+CDM/HBET:3-5,3,2.0,6.0
CR+PC/LWAL+CDN/HBET:3-5,3,2.0,6.0
CR/LFINF+CDL/HBET:3-5,3,2.0,6.0
CR/LFINF+CDM/H:2,2,0.5,1.0
CR/LFINF+CDM/HBET:3-5,3,2.0,6.0
CR/LFINF+CDN/HBET:3-5,3,2.0,6.0
CR/LWAL+CDH/HBET:3-5,3,2.0,6.0
CR/LWAL+CDL/H:1,1,1.0,1.0
CR/LWAL+CDL/H:2,2,0.5,1.0
CR/LWAL+CDL/HBET:3-5,3,2.0,6.0
CR/LWAL+CDM/H:1,1,1.0,1.0
CR/LWAL+CDM/H:2,2,0.5,1.0
CR/LWAL+CDM/HBET:3-5,3,2.0,6.0
CR/LWAL+CDN/H:1,1,1.0,1.0
CR/LWAL+CDN/H:2,2,0.5,1.0
CR/LWAL+CDN/HBET:3-5,3,2.0,6.0
MIX(MUR+W)/LWAL+CDL/H:1,1,1.0,1.0
MIX(MUR+W)/LWAL+CDL/H:2,2,0.5,1.0
MIX(MUR+W)/LWAL+CDM/H:1,1,1.0,1.0
MIX(MUR+W)/LWAL+CDM/H:2,2,0.5,1.0
MIX(MUR+W)/LWAL+CDN/H:1,1,1.0,1.0
MIX(MUR+W)/LWAL+CDN/H:2,2,0.5,1.0
MIX/LH+CDL/H:2,2,0.5,1.0
MIX/LH+CDM/H:2,2,0.5,1.0
MIX/LH+CDN/H:2,2,0.5,1.0
MUR+CL/LWAL+CDN/H:1,1,1.0,1.0
MUR+CL/LWAL+CDN/H:2,2,0.5,1.0
W/LWAL+CDH/HBET:3-5,3,2.0,6.0
W/LWAL+CDL/H:1,1,1.0,1.0
W/LWAL+CDL/H:2,2,0.5,1.0
W/LWAL+CDL/HBET:3-5,3,2.0,6.0
W/LWAL+CDM/H:1,1,1.0,1.0
W/LWAL+CDM/H:2,2,0.5,1.0
W/LWAL+CDM/HBET:3-5,3,2.0,6.0
W/LWAL+CDN/H:1,1,1.0,1.0
W/LWAL+CDN/H:2,2,0.5,1.0
W/LWAL+CDN/HBET:3-5,3,2.0,6.0
CR+PC/LWAL+CDH/HBET:6-,6,3.174,19.044
CR+PC/LWAL+CDL/HBET:6-,6,3.174,19.044
CR+PC/LWAL+CDM/HBET:6-,6,3.174,19.044
CR+PC/LWAL+CDN/HBET:6-,6,3.174,19.044
CR/LFINF+CDH/HBET:6-,6,3.174,19.044
CR/LFINF+CDL/HBET:6-,6,3.174,19.044
CR/LFINF+CDM/HBET:6-,6,3.174,19.044
CR/LFINF+CDN/H:2,2,0.5,1.0
CR/LFINF+CDN/HBET:6-,6,3.174,19.044
CR/LWAL+CDH/HBET:6-,6,3.174,19.044
CR/LWAL+CDL/HBET:6-,6,3.174,19.044
CR/LWAL+CDM/HBET:6-,6,3.174,19.044
CR/LWAL+CDN/HBET:6-,6,3.174,19.044
