TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
CR+PC/LWAL+CDL/HBET:3-5,4,0.5,2.0
CR+PC/LWAL+CDM/HBET:3-5,4,0.5,2.0
CR+PC/LWAL+CDN/HBET:3-5,4,0.5,2.0
CR/LFINF+CDH/H:1,1,1.0,1.0
CR/LFINF+CDH/H:2,2,0.5,1.0
CR/LFINF+CDH/HBET:3-5,4,0.5,2.0
CR/LFINF+CDL/H:1,1,1.0,1.0
CR/LFINF+CDL/H:2,2,0.5,1.0
CR/LFINF+CDL/HBET:3-5,4,0.5,2.0
CR/LFINF+CDL/HBET:6-,6,3.613,21.678
CR/LFINF+CDM/H:1,1,1.0,1.0
CR/LFINF+CDM/H:2,2,0.5,1.0
CR/LFINF+CDM/HBET:3-5,4,0.5,2.0
CR/LFINF+CDM/HBET:6-,6,3.613,21.678
CR/LFINF+CDN/HBET:3-5,4,0.5,2.0
CR/LFINF+CDN/HBET:6-,6,3.613,21.678
CR/LWAL+CDH/H:2,2,0.5,1.0
CR/LWAL+CDH/HBET:3-5,4,0.5,2.0
CR/LWAL+CDL/H:2,2,0.5,1.0
CR/LWAL+CDL/HBET:3-5,4,0.5,2.0
CR/LWAL+CDM/H:2,2,0.5,1.0
CR/LWAL+CDM/HBET:3-5,4,0.5,2.0
MIX(MUR+CR)/LWAL+CDH/HBET:3-5,4,0.5,2.0
MIX(MUR+CR)/LWAL+CDL/HBET:3-5,4,0.5,2.0
MIX(MUR+CR)/LWAL+CDM/HBET:3-5,4,0.5,2.0
MUR/LWAL+CDN/H:1,1,1.0,1.0
MUR/LWAL+CDN/H:2,2,0.5,1.0
MUR/LWAL+CDN/HBET:3-5,4,0.5,2.0
W/LWAL+CDH/H:2,2,0.5,1.0
W/LWAL+CDH/HBET:3-5,4,0.5,2.0
W/LWAL+CDL/H:1,1,1.0,1.0
W/LWAL+CDL/H:2,2,0.5,1.0
W/LWAL+CDL/HBET:3-5,4,0.5,2.0
W/LWAL+CDM/H:1,1,1.0,1.0
W/LWAL+CDM/H:2,2,0.5,1.0
W/LWAL+CDM/HBET:3-5,4,0.5,2.0
W/LWAL+CDN/HBET:3-5,4,0.5,2.0
W/LWAL+CDH/H:1,1,1.0,1.0
CR/LFINF+CDL/HBET:3-5/SOS,4,0.5,2.0
CR/LFINF+CDL/HBET:6-/SOS,6,3.613,21.678
CR/LFINF+CDM/HBET:3-5/SOS,4,0.5,2.0
CR/LFINF+CDM/HBET:6-/SOS,6,3.613,21.678
CR/LFINF+CDN/HBET:3-5/SOS,4,0.5,2.0
CR/LFINF+CDN/HBET:6-/SOS,6,3.613,21.678
CR/LWAL+CDH/H:1,1,1.0,1.0
CR/LWAL+CDH/HBET:6-,6,3.613,21.678
CR/LWAL+CDL/HBET:3-5/SOS,4,0.5,2.0
CR/LWAL+CDM/HBET:3-5/SOS,4,0.5,2.0
CR/LWAL+CDN/HBET:3-5/SOS,4,0.5,2.0
